"indicationgroupid","cim10id"
"30","3773"
"30","3775"
"30","3776"
"30","3781"
"30","3782"
"30","3788"
"30","3789"
"30","3794"
"30","3795"
"30","3797"
"30","3798"
"30","3799"
"30","3800"
"30","3801"
"30","3802"
"30","3805"
"30","3807"
"30","3902"
"30","3903"
"30","3928"
"30","3929"
"30","3930"
"30","3931"
"30","3932"
"30","3933"
"30","3934"
"30","3935"
"30","5722"
"30","5723"
"30","5724"
"30","5725"
"30","5726"
"30","5727"
"30","5728"
"30","5729"
"30","5730"
"30","5731"
"30","5732"
"30","6746"
"30","13476"
"30","13479"
"32","4229"
"33","2355"
"33","2356"
"33","2357"
"33","2358"
"33","2359"
"33","2360"
"33","2362"
"33","2363"
"34","2448"
"34","2463"
"34","11625"
"34","18341"
"34","18342"
"35","3486"
"35","3487"
"35","3488"
"35","3489"
"35","3490"
"35","3492"
"35","3494"
"35","3498"
"35","3500"
"35","3503"
"35","3504"
"35","4098"
"36","3996"
"36","11427"
"36","18685"
"36","19215"
"37","3987"
"37","3997"
"37","3998"
"37","11425"
"38","2978"
"38","4213"
"38","4214"
"38","4216"
"38","11437"
"40","10825"
"40","10826"
"40","10827"
"40","10828"
"40","10829"
"40","10830"
"40","10831"
"40","10832"
"40","10833"
"40","10836"
"40","10837"
"40","10838"
"40","10839"
"40","10840"
"40","10841"
"40","10842"
"40","10844"
"40","10845"
"40","10846"
"40","10847"
"40","10848"
"40","10849"
"40","10850"
"40","10851"
"40","10852"
"40","10854"
"40","10855"
"40","10856"
"40","10857"
"40","10858"
"40","10859"
"40","10860"
"40","10862"
"40","10863"
"40","10864"
"40","10865"
"40","10866"
"40","10867"
"40","10868"
"40","10869"
"40","10870"
"40","10872"
"40","10873"
"40","10874"
"40","10875"
"40","10876"
"40","10877"
"40","10878"
"40","10879"
"40","10880"
"40","10881"
"40","10883"
"40","10884"
"40","10885"
"40","10886"
"40","10887"
"40","10888"
"40","10889"
"40","10890"
"40","10891"
"40","10906"
"40","11334"
"40","11432"
"41","4175"
"41","4176"
"41","4177"
"41","4178"
"41","4179"
"41","4180"
"41","4181"
"41","4182"
"41","4183"
"41","4184"
"41","4854"
"41","9934"
"41","9937"
"41","10241"
"41","10244"
"41","20171"
"42","4836"
"42","4837"
"42","4838"
"43","2038"
"43","2039"
"43","2040"
"43","2041"
"43","2042"
"43","2043"
"43","2044"
"43","2045"
"43","2047"
"43","2048"
"43","2049"
"43","2050"
"43","2051"
"43","2052"
"43","2053"
"43","10618"
"43","10621"
"44","11824"
"44","11825"
"44","11826"
"44","11827"
"44","11828"
"44","11829"
"44","11830"
"44","11831"
"44","11832"
"44","11953"
"44","11954"
"44","11955"
"44","11956"
"44","11957"
"44","12020"
"44","12021"
"44","12022"
"44","12023"
"44","12024"
"44","12025"
"44","12026"
"44","12137"
"44","12138"
"44","12139"
"44","12140"
"44","12141"
"44","12142"
"44","12150"
"44","12269"
"44","12270"
"44","12271"
"44","12273"
"44","12278"
"44","12287"
"44","12288"
"44","12289"
"44","12290"
"44","12369"
"44","12370"
"44","12371"
"44","12372"
"44","12373"
"44","12454"
"44","12455"
"44","12456"
"44","12457"
"44","12458"
"44","12459"
"44","12550"
"44","12551"
"44","12552"
"44","12553"
"44","12554"
"44","12623"
"44","12624"
"44","12625"
"44","12626"
"44","12627"
"44","12711"
"44","12712"
"44","12713"
"44","12714"
"44","12715"
"44","12716"
"44","12717"
"44","12795"
"44","12796"
"44","12797"
"44","12798"
"44","12799"
"44","12800"
"44","12801"
"44","12919"
"44","12930"
"45","11835"
"45","11836"
"45","11837"
"45","11838"
"45","11839"
"45","11840"
"45","11841"
"45","11842"
"45","11843"
"45","11845"
"45","11846"
"45","11847"
"45","11848"
"45","11849"
"45","11850"
"45","11854"
"45","11855"
"45","11856"
"45","11857"
"45","11858"
"45","11859"
"45","11860"
