"indicationgroupid","indicationid"
"73","32864"
"73","32984"
"73","34444"
"73","43864"
"73","44564"
"73","44574"
"73","44614"
"73","44624"
"73","44654"
"73","44984"
"73","44994"
"73","57924"
"73","59104"
"73","62054"
"73","62064"
"73","62274"
"73","66204"
"73","66984"
"73","66994"
"73","67204"
"73","67224"
"73","67304"
"73","67314"
"73","67324"
"73","67334"
"73","67354"
"73","67364"
"73","67894"
"73","67904"
"73","68194"
"73","69304"
"73","72014"
"73","72024"
"73","73794"
"73","74284"
"73","74294"
"73","81114"
"73","81244"
"73","81284"
"73","86674"
"73","86704"
"73","86714"
"73","87084"
"73","87094"
"73","87114"
"73","87124"
"73","87484"
"73","89564"
"73","89934"
"74","28894"
"74","34884"
"74","74624"
"74","82154"
"74","83204"
"75","29274"
"76","2954"
"77","37454"
"78","1994"
"78","5874"
"78","68404"
"80","33974"
"80","35194"
"80","35914"
"80","43054"
"80","57604"
"80","62854"
"80","70254"
"80","84434"
"80","84444"
"80","86834"
"80","86884"
"80","87224"
"80","87234"
"87","434"
"87","30744"
"87","83984"
"95","11694"
"97","12594"
"97","60764"
"97","77724"
"104","10164"
"104","36534"
"105","9964"
"105","38804"
"105","44824"
"105","67974"
"105","67984"
"105","71714"
"105","83014"
"105","83024"
"105","86414"
"107","13604"
"107","17904"
"107","27374"
"107","35274"
"107","35284"
"107","36634"
"107","37124"
"107","37274"
"107","60174"
"107","65274"
"107","80434"
"107","81494"
"107","83564"
"107","83574"
"108","214"
"108","4364"
"108","4374"
"108","4514"
"108","4854"
"108","5881"
"108","24174"
"108","34914"
"108","37514"
"108","37614"
"108","43814"
"108","44004"
"108","44074"
"108","58874"
"108","58884"
"108","64534"
"108","64714"
"108","66804"
"108","69224"
"108","74814"
"108","77934"
"108","82634"
"108","82674"
"108","88414"
"108","91214"
"111","17954"
"111","77584"
"114","1884"
"114","12634"
"114","57784"
"114","68924"
"114","83304"
"117","15314"
"117","16334"
"117","73914"
"117","89924"
"121","4404"
"121","81304"
"122","32054"
"122","67584"
"123","10654"
"123","34144"
"123","36294"
"123","59304"
"128","35454"
"129","12964"
"129","26674"
"129","31304"
"129","36374"
"129","44274"
"129","79244"
"129","81664"
"130","2894"
"130","18074"
"130","18483"
"130","23534"
"130","31254"
"130","34644"
"130","34894"
"130","37124"
"130","37154"
"130","37504"
"130","58634"
"130","60934"
"130","74714"
"130","80584"
"130","81204"
"130","81214"
"130","81224"
"130","81774"
"130","83054"
"130","83064"
"130","83074"
"130","83564"
"131","7124"
"131","7134"
"131","57654"
"131","57664"
"131","57944"
"131","57954"
"131","57964"
"131","57984"
"131","57994"
"131","63504"
"131","63514"
"131","63524"
"131","63534"
"131","63544"
"131","63554"
"131","71704"
"131","74964"
"131","75984"
"131","75994"
"131","77964"
"131","77974"
"131","77984"
"131","77994"
"131","78014"
"131","78734"
"131","78744"
"131","79534"
"131","79554"
"131","81254"
"131","83864"
"131","85844"
"131","86464"
"133","8401"
"133","71574"
"137","18634"
"137","24593"
"137","42554"
"137","78504"
"137","92254"
"137","92284"
"137","92294"
"138","4924"
"138","22414"
"138","22464"
"138","34824"
"138","38864"
"138","38874"
"138","38914"
"138","39044"
"138","39074"
"138","39084"
"138","44834"
"138","44844"
"138","57464"
"138","57564"
"138","61174"
"138","62184"
"138","64024"
"138","71274"
"138","71284"
"138","72034"
"138","72044"
"138","72804"
"138","73804"
"138","79054"
"138","80604"
"138","81794"
"138","81884"
"138","81984"
"138","81994"
"138","82104"
"138","83164"
"138","83994"
"138","87044"
"138","87704"
"138","87714"
"138","87784"
"138","87794"
"138","87804"
"138","88084"
"138","88324"
"138","89324"
"138","89334"
"138","90384"
"138","90484"
"138","91254"
"138","91264"
"138","91384"
"138","92064"
"138","92074"
"141","5354"
"141","7904"
"141","26314"
"141","27964"
"141","34984"
"141","41144"
"141","43274"
"141","77434"
"141","89184"
"141","89194"
"141","89764"
"141","91984"
"142","3741"
"142","20754"
"142","21194"
"142","39574"
"142","58734"
"142","60444"
"142","64234"
"142","65414"
"142","67344"
"142","67634"
"142","69434"
"142","72784"
"142","72794"
"142","80464"
"143","8934"
"143","19084"
"143","31664"
"143","36954"
"143","43404"
"143","57874"
"143","57884"
"143","64064"
"143","75384"
"143","85064"
"143","91294"
"145","20554"
"145","27564"
"145","29524"
"145","33104"
"145","33114"
"145","54841"
"145","69314"
"145","69484"
"145","79524"
"147","5194"
"147","26624"
"147","29544"
"147","31734"
"147","58714"
"147","58974"
"147","61994"
"147","71674"
"147","78064"
"147","78074"
"148","6124"
"148","29444"
"148","29474"
"149","21194"
"149","24314"
"149","24694"
"149","24704"
"149","24944"
"149","31694"
"149","57774"
"149","57884"
"149","68314"
"149","68664"
"149","85124"
"149","85414"
"149","85424"
"149","85434"
"149","88444"
"149","88504"
"149","88544"
"149","88644"
"149","88704"
"149","90684"
"151","20804"
"151","24494"
"151","26274"
"151","64464"
"151","89954"
"154","3344"
"154","3364"
"154","27924"
"154","29584"
"154","30452"
"154","39554"
"154","39584"
"154","62294"
"154","64494"
"154","69774"
"154","75114"
"154","80204"
"154","82824"
"154","82834"
"154","88754"
"154","91414"
"155","10134"
"155","13214"
"155","14804"
"155","16414"
"155","26594"
"155","28054"
"155","30254"
"155","34834"
"155","35074"
"155","35544"
"155","35714"
"155","36134"
"155","36254"
"155","44914"
"155","57534"
"155","60354"
"155","62504"
"155","62514"
"155","64594"
"155","76614"
"155","83394"
"155","83754"
"158","2764"
"158","5194"
"158","19324"
"158","22984"
"158","29594"
"158","30581"
"158","42364"
"159","1554"
"159","24984"
"159","37214"
"159","39742"
"159","72394"
"160","7704"
"160","18143"
"160","23504"
"160","33084"
"160","59434"
"160","61554"
"160","61564"
"160","83804"
"160","85074"
"160","85094"
"160","85134"
"160","85164"
"160","88554"
"160","88564"
"160","88674"
"163","7724"
"163","9414"
"163","20733"
"163","31573"
"163","32904"
"163","72964"
"163","78024"
"163","78034"
"163","92554"
"164","20784"
"167","5974"
"167","7124"
"167","7134"
"167","7154"
"167","9304"
"167","30434"
"167","30514"
"167","30554"
"167","34214"
"167","34224"
"167","34234"
"167","37564"
"167","37584"
